,date_hour,available_bike_stands,temperature,relative_humidity,dew_point
0,2023-06-25 19:00:00,7,24.42,43.5,11.28
1,2023-06-25 20:00:00,8,22.85,49.0,11.5
2,2023-06-25 21:00:00,4,20.95,56.5,12.0
3,2023-06-25 22:00:00,0,19.52,65.0,12.5
4,2023-06-25 23:00:00,0,18.0,73.0,13.1
5,2023-06-26 00:00:00,0,17.56,73.0,12.7
6,2023-06-26 01:00:00,0,17.25,73.0,12.35
7,2023-06-26 02:00:00,1,16.74,75.0,12.2
8,2023-06-26 03:00:00,2,16.2,76.0,12.0
9,2023-06-26 04:00:00,5,16.02,78.0,12.2
10,2023-06-26 05:00:00,11,16.05,80.0,12.55
11,2023-06-26 06:00:00,15,17.3,78.0,13.35
12,2023-06-26 07:00:00,20,19.7,70.5,14.1
13,2023-06-26 08:00:00,21,21.95,63.0,14.55
14,2023-06-26 09:00:00,21,23.7,58.2,14.78
15,2023-06-26 10:00:00,18,25.2,52.5,14.75
16,2023-06-26 11:00:00,16,25.9,51.0,14.9
17,2023-06-26 17:00:00,1,27.5,39.0,12.4
18,2023-06-26 18:00:00,3,27.22,40.0,12.4
19,2023-06-26 19:00:00,6,26.24,43.18,12.67
20,2023-06-26 20:00:00,2,24.81,50.0,13.4
21,2023-06-26 21:00:00,0,22.7,60.0,14.3
22,2023-06-26 22:00:00,0,19.85,73.5,14.9
23,2023-06-26 23:00:00,0,17.85,82.5,14.85
24,2023-06-27 00:00:00,0,17.75,81.0,14.45
25,2023-06-27 01:00:00,0,18.27,80.33,14.83
26,2023-06-27 02:00:00,0,18.4,81.5,15.15
27,2023-06-27 03:00:00,0,18.28,82.5,15.25
28,2023-06-27 04:00:00,5,18.75,78.91,14.94
29,2023-06-27 05:00:00,17,19.15,77.0,14.97
30,2023-06-27 06:00:00,20,20.13,82.33,17.0
31,2023-06-27 07:00:00,20,21.43,78.8,17.52
32,2023-06-27 08:00:00,19,22.68,73.78,17.68
33,2023-06-27 09:00:00,20,22.3,74.27,17.58
34,2023-06-27 10:00:00,20,20.7,80.89,17.2
35,2023-06-27 11:00:00,20,20.3,82.29,17.16
36,2023-06-27 12:00:00,19,20.24,78.86,16.47
37,2023-06-27 13:00:00,18,19.3,81.0,16.11
38,2023-06-27 14:00:00,19,19.44,83.0,16.4
39,2023-06-27 15:00:00,17,20.0,80.0,16.5
40,2023-06-27 16:00:00,15,18.43,82.29,15.44
41,2023-06-27 17:00:00,12,17.96,81.0,14.56
42,2023-06-27 18:00:00,9,17.62,83.78,14.82
43,2023-06-27 19:00:00,10,17.4,89.0,15.51
44,2023-06-27 20:00:00,10,17.46,90.0,15.75
