,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng,number
0,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,10,12,OPEN,1710014510000,46.562695,15.62935,
1,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,9,13,OPEN,1710015052000,46.562695,15.62935,
2,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,9,13,OPEN,1710015658000,46.562695,15.62935,1.0
3,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,6,16,OPEN,1710026556000,46.562695,15.62935,1.0
4,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,11,11,OPEN,1710198202000,46.562695,15.62935,1.0
5,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,11,11,OPEN,1710200018000,46.562695,15.62935,1.0
6,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,11,11,OPEN,1710201228000,46.562695,15.62935,1.0
7,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,10,12,OPEN,1710204860000,46.562695,15.62935,1.0
8,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,10,12,OPEN,1710205465000,46.562695,15.62935,1.0
9,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,10,12,OPEN,1710206070000,46.562695,15.62935,1.0
10,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,1,21,OPEN,1710256377000,46.562695,15.62935,1.0
11,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,0,22,OPEN,1710256577000,46.562695,15.62935,1.0
12,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,1,21,OPEN,1710256822000,46.562695,15.62935,1.0
13,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,2,20,OPEN,1710257430000,46.562695,15.62935,1.0
14,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,1,21,OPEN,1710260066000,46.562695,15.62935,1.0
15,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,4,18,OPEN,1710262473000,46.562695,15.62935,1.0
16,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,7,15,OPEN,1710263400000,46.562695,15.62935,1.0
17,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,11,11,OPEN,1710267168000,46.562695,15.62935,1.0
18,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,9,13,OPEN,1710269550000,46.562695,15.62935,1.0
19,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,7,15,OPEN,1710270385000,46.562695,15.62935,1.0
20,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,4,18,OPEN,1710274264000,46.562695,15.62935,1.0
21,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,5,17,OPEN,1710277504000,46.562695,15.62935,1.0
22,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,6,16,OPEN,1710281359000,46.562695,15.62935,1.0
23,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,False,False,22,0,22,OPEN,1710284994000,46.562695,15.62935,1.0
