,time,temperature,relative_humidity,dew_point
0,2024-03-11T00:00,7.7,92,6.4
1,2024-03-11T01:00,7.7,92,6.5
2,2024-03-11T02:00,6.9,89,5.3
3,2024-03-11T03:00,6.4,90,4.9
4,2024-03-11T04:00,5.6,89,3.9
5,2024-03-11T05:00,5.2,89,3.6
6,2024-03-11T06:00,5.1,92,3.9
7,2024-03-11T07:00,5.6,94,4.7
8,2024-03-11T08:00,7.7,89,6.0
9,2024-03-11T09:00,9.2,85,6.9
10,2024-03-11T10:00,9.6,84,7.1
11,2024-03-11T11:00,9.6,87,7.5
12,2024-03-11T12:00,9.7,80,6.4
13,2024-03-11T13:00,9.2,78,5.6
14,2024-03-11T14:00,8.8,82,5.8
15,2024-03-11T15:00,8.8,86,6.5
16,2024-03-11T16:00,8.4,83,5.6
17,2024-03-11T17:00,7.7,82,4.8
18,2024-03-11T18:00,7.2,82,4.4
19,2024-03-11T19:00,7.1,81,4.0
20,2024-03-11T20:00,7.3,78,3.7
21,2024-03-11T21:00,7.2,80,3.9
22,2024-03-11T22:00,7.3,79,3.9
23,2024-03-11T23:00,7.4,79,4.0
24,2024-03-12T00:00,7.2,79,3.8
25,2024-03-12T01:00,7.2,76,3.3
26,2024-03-12T02:00,7.7,73,3.1
27,2024-03-12T03:00,7.8,74,3.5
28,2024-03-12T04:00,7.7,73,3.2
29,2024-03-12T05:00,7.6,74,3.3
30,2024-03-12T06:00,6.8,82,4.0
31,2024-03-12T07:00,7.6,80,4.4
32,2024-03-12T08:00,8.9,77,5.1
33,2024-03-12T09:00,10.3,69,4.9
34,2024-03-12T10:00,11.2,67,5.3
35,2024-03-12T11:00,12.1,59,4.3
36,2024-03-12T12:00,12.4,59,4.6
37,2024-03-12T13:00,12.9,56,4.3
38,2024-03-12T14:00,12.7,56,4.1
39,2024-03-12T15:00,12.1,54,3.1
40,2024-03-12T16:00,11.4,55,2.7
41,2024-03-12T17:00,10.0,58,2.1
42,2024-03-12T18:00,8.7,64,2.3
43,2024-03-12T19:00,6.4,79,3.1
44,2024-03-12T20:00,5.3,84,2.8
45,2024-03-12T21:00,5.2,81,2.3
46,2024-03-12T22:00,4.2,88,2.3
47,2024-03-12T23:00,4.2,86,2.0
48,2024-03-13T00:00,5.6,80,2.4
49,2024-03-13T01:00,5.3,80,2.1
50,2024-03-13T02:00,5.4,80,2.2
51,2024-03-13T03:00,4.5,84,2.0
52,2024-03-13T04:00,4.1,84,1.6
53,2024-03-13T05:00,4.2,81,1.2
54,2024-03-13T06:00,4.7,77,1.0
55,2024-03-13T07:00,6.9,72,2.2
56,2024-03-13T08:00,9.4,63,2.7
57,2024-03-13T09:00,11.4,54,2.4
58,2024-03-13T10:00,12.6,54,3.5
59,2024-03-13T11:00,13.4,50,3.2
60,2024-03-13T12:00,14.2,45,2.4
61,2024-03-13T13:00,14.4,42,1.6
62,2024-03-13T14:00,14.4,44,2.2
63,2024-03-13T15:00,14.1,45,2.3
64,2024-03-13T16:00,13.1,51,3.2
65,2024-03-13T17:00,10.8,70,5.5
66,2024-03-13T18:00,9.1,76,5.0
67,2024-03-13T19:00,8.5,70,3.3
68,2024-03-13T20:00,6.6,82,3.7
69,2024-03-13T21:00,6.8,80,3.5
70,2024-03-13T22:00,6.6,84,4.1
71,2024-03-13T23:00,6.9,83,4.2
72,2024-03-14T00:00,4.6,82,1.7
73,2024-03-14T01:00,4.9,78,1.4
74,2024-03-14T02:00,5.0,78,1.5
75,2024-03-14T03:00,4.8,78,1.2
76,2024-03-14T04:00,4.6,80,1.4
77,2024-03-14T05:00,4.2,81,1.3
78,2024-03-14T06:00,4.4,80,1.3
79,2024-03-14T07:00,5.0,82,2.2
80,2024-03-14T08:00,7.1,74,2.7
81,2024-03-14T09:00,8.4,70,3.2
82,2024-03-14T10:00,9.6,66,3.5
83,2024-03-14T11:00,10.7,63,3.9
84,2024-03-14T12:00,11.3,61,4.0
85,2024-03-14T13:00,12.1,59,4.3
86,2024-03-14T14:00,13.1,60,5.5
87,2024-03-14T15:00,13.3,62,6.2
88,2024-03-14T16:00,12.9,67,6.9
89,2024-03-14T17:00,11.8,76,7.7
90,2024-03-14T18:00,10.7,81,7.6
91,2024-03-14T19:00,9.9,82,6.9
92,2024-03-14T20:00,8.6,88,6.7
93,2024-03-14T21:00,7.8,91,6.4
94,2024-03-14T22:00,6.8,93,5.7
95,2024-03-14T23:00,6.2,93,5.2
